geom,ISO3_CODE,COUNTRY_NAME,AREA
"POLYGON ((27.2674 -31.5303,27.2663 -31.5344,27.2679 -31.5356,27.2696 -31.5363,27.2733 -31.5372,27.2732 -31.534,27.2711 -31.5318,27.2703 -31.5306,27.2724 -31.5285,27.2709 -31.5283,27.2674 -31.5303))",ZAF,South Africa,0.387820014094096
"POLYGON ((18.0572 -31.4894,18.0556 -31.4903,18.0586 -31.4956,18.0632 -31.4998,18.0645 -31.4992,18.0611 -31.4953,18.0597 -31.4922,18.0631 -31.4907,18.0628 -31.4895,18.0602 -31.4895,18.0586 -31.4912,18.0572 -31.4894))",ZAF,South Africa,0.33927824418128
"POLYGON ((18.0293 -31.4907,18.0293 -31.4914,18.0295 -31.4915,18.0299 -31.4916,18.0305 -31.4917,18.0308 -31.4911,18.031 -31.4906,18.0309 -31.4901,18.0307 -31.4897,18.03 -31.4899,18.0294 -31.4901,18.0293 -31.4907))",ZAF,South Africa,0.0271492240538795
"POLYGON ((17.8799 -31.2822,17.8878 -31.3202,17.9184 -31.3082,17.9287 -31.2859,17.9386 -31.2753,17.9812 -31.27,17.9788 -31.2598,17.9963 -31.2489,18.0035 -31.2222,17.9764 -31.2008,17.9602 -31.2011,17.9398 -31.2323,17.9221 -31.2401,17.9137 -31.2577,17.8972 -31.2645,17.8799 -31.2822))",ZAF,South Africa,65.9702495317599
"POLYGON ((17.8572 -31.2395,17.8603 -31.2507,17.8842 -31.2401,17.8857 -31.2335,17.8821 -31.2266,17.8851 -31.2229,17.8928 -31.2257,17.8959 -31.2225,17.8978 -31.2184,17.8887 -31.2124,17.8811 -31.2163,17.8724 -31.2216,17.8715 -31.2273,17.8681 -31.2338,17.8572 -31.2395))",ZAF,South Africa,6.42174043347543
"POLYGON ((17.2948 -30.251,17.2927 -30.2529,17.2949 -30.2542,17.2962 -30.2532,17.2975 -30.2523,17.2998 -30.2524,17.3015 -30.2527,17.3032 -30.2525,17.3039 -30.2519,17.3038 -30.2509,17.3023 -30.2499,17.302 -30.2492,17.302 -30.2483,17.301 -30.2479,17.2997 -30.2476,17.2972 -30.2478,17.2969 -30.2492,17.2948 -30.251))",ZAF,South Africa,0.405972373521481
"POLYGON ((17.266 -30.2254,17.2594 -30.2296,17.2618 -30.2417,17.266 -30.2453,17.2692 -30.2428,17.2702 -30.2402,17.273 -30.2384,17.2756 -30.2374,17.2764 -30.236,17.2797 -30.2363,17.2793 -30.2316,17.2778 -30.2314,17.2759 -30.2326,17.2741 -30.2324,17.2712 -30.2278,17.266 -30.2254))",ZAF,South Africa,2.35777513641581
"POLYGON ((17.2887 -30.2052,17.2873 -30.2118,17.2894 -30.2155,17.2911 -30.222,17.2932 -30.2237,17.2971 -30.2229,17.3011 -30.2162,17.3042 -30.2133,17.303 -30.2072,17.2921 -30.2049,17.2887 -30.2052))",ZAF,South Africa,2.3079570367967
"POLYGON ((17.268 -30.203,17.2652 -30.2055,17.2706 -30.2114,17.2678 -30.2191,17.2676 -30.2219,17.2697 -30.222,17.2708 -30.2196,17.2714 -30.2166,17.2739 -30.2161,17.2755 -30.2144,17.275 -30.2116,17.2743 -30.2082,17.2727 -30.2051,17.2699 -30.2033,17.268 -30.203))",ZAF,South Africa,0.96405228120473
"POLYGON ((17.3296 -30.4011,17.3271 -30.406,17.3346 -30.4096,17.3343 -30.4189,17.3354 -30.4298,17.3405 -30.4381,17.3443 -30.4489,17.3505 -30.452,17.348 -30.4342,17.3606 -30.4249,17.355 -30.4075,17.3447 -30.4049,17.3371 -30.3988,17.3296 -30.4011))",ZAF,South Africa,8.73958472572383
"POLYGON ((17.3078 -30.3788,17.3261 -30.3824,17.3399 -30.3794,17.3429 -30.3672,17.3363 -30.3434,17.3407 -30.3392,17.3459 -30.3308,17.329 -30.3224,17.3162 -30.3145,17.3093 -30.3074,17.3042 -30.2955,17.3169 -30.2903,17.3047 -30.2669,17.3009 -30.2763,17.3016 -30.2859,17.2949 -30.2829,17.2885 -30.2683,17.2755 -30.2657,17.2726 -30.284,17.2798 -30.2905,17.2904 -30.3,17.2925 -30.3126,17.2858 -30.3333,17.2951 -30.3521,17.3078 -30.3788))",ZAF,South Africa,42.8508318381841
"POLYGON ((23.2005 -29.6815,23.1871 -29.6914,23.2099 -29.7203,23.2214 -29.7172,23.2283 -29.7103,23.2071 -29.6816,23.2005 -29.6815))",ZAF,South Africa,8.94729497412049
"POLYGON ((22.7031 -29.5238,22.701 -29.5245,22.7002 -29.5262,22.6976 -29.5263,22.6955 -29.5272,22.6952 -29.5282,22.6954 -29.5295,22.6954 -29.5309,22.697 -29.5316,22.6969 -29.5304,22.6971 -29.53,22.6977 -29.5294,22.698 -29.5298,22.6988 -29.5307,22.6984 -29.5314,22.6992 -29.532,22.6997 -29.5317,22.7009 -29.5328,22.7128 -29.5278,22.7164 -29.5277,22.7148 -29.5299,22.7135 -29.5331,22.717 -29.5341,22.7187 -29.5328,22.7195 -29.5312,22.7214 -29.5278,22.7208 -29.525,22.7196 -29.5233,22.7099 -29.5229,22.708 -29.5241,22.7051 -29.5241,22.7031 -29.5238))",ZAF,South Africa,1.84691185653387
"POLYGON ((24.9876 -29.4065,24.9779 -29.413,24.9779 -29.4217,24.9875 -29.4367,24.9939 -29.4421,25.0093 -29.4309,25.0128 -29.4268,25.0031 -29.4228,24.9994 -29.4214,24.9961 -29.4174,24.9966 -29.4131,24.9924 -29.4092,24.9876 -29.4065))",ZAF,South Africa,6.86821307096707
"POLYGON ((31.7013 -28.9975,31.7019 -28.9982,31.7059 -29.0016,31.7064 -29.0016,31.7072 -29.0012,31.7081 -29.0002,31.7077 -28.9995,31.7079 -28.999,31.7088 -28.9988,31.7088 -28.9982,31.7079 -28.9978,31.7059 -28.9981,31.7029 -28.9973,31.7018 -28.9972,31.7015 -28.9973,31.7013 -28.9975))",ZAF,South Africa,0.18330156005236
"POLYGON ((31.7382 -28.9684,31.7362 -28.9685,31.7358 -28.9694,31.7373 -28.9697,31.7362 -28.971,31.7345 -28.9725,31.735 -28.973,31.7361 -28.9731,31.738 -28.9726,31.7384 -28.9751,31.7396 -28.9762,31.7398 -28.9743,31.7397 -28.9723,31.7394 -28.9718,31.7394 -28.971,31.7389 -28.9697,31.7396 -28.9684,31.7382 -28.9679,31.7382 -28.9684))",ZAF,South Africa,0.21423217866701
"POLYGON ((31.7201 -28.9848,31.7197 -28.9877,31.7212 -28.9895,31.7272 -28.9828,31.7314 -28.978,31.7328 -28.9737,31.731 -28.9731,31.7292 -28.9744,31.7268 -28.9778,31.7233 -28.9791,31.7216 -28.9785,31.7203 -28.9795,31.7201 -28.9812,31.7206 -28.9821,31.7201 -28.9848))",ZAF,South Africa,0.902664138515965
